Search Algorithm;Heuristic;Limit Size;Solution Found;Solution Cost;Num of Expanded Nodes;Max Frontier Size;Num of Generated States;Time to solve (milliseconds)

Breadth first search;N/A;N/A;YES;19.0;392;53;882;10;
Uniform cost search;N/A;N/A;YES;19.0;395;52;886;6;
Depth first search;N/A;N/A;YES;23.0;53;28;118;1;
Iterative deepening search;N/A;21.0;YES;19.0;1272952;33;1945788;11058;
Greedy best first search;Distance to the exit;N/A;YES;20.0;81;80;284;3;
Greedy best first search;Distance from closest enemy;N/A;YES;20.0;169;132;616;5;
Greedy best first search;Distance from closest enemy and goal;N/A;YES;19.0;84;68;309;2;
A* search;Distance to the exit;N/A;YES;19.0;185;132;651;4;
A* search;Distance from closest enemy;N/A;YES;20.0;259;151;897;6;
A* search;Distance from closest enemy and goal;N/A;YES;19.0;166;113;593;3;
IDA* search;Distance to the exit;N/A;YES;19.0;2425;39;8467;45;
IDA* search;Distance from closest enemy;N/A;YES;19.0;7816;64;28230;154;
IDA* search;Distance from closest enemy and goal;N/A;YES;19.0;1745;52;6364;32;
