Search Algorithm;Heuristic;Limit Size;Solution Found;Solution Cost;Num of Expanded Nodes;Max Frontier Size;Num of Generated States;Time to solve (milliseconds)

Breadth first search;N/A;N/A;YES;36.0;82;6;229;1;
Uniform cost search;N/A;N/A;YES;36.0;82;6;229;2;
Depth first search;N/A;N/A;YES;36.0;63;15;181;1;
Iterative deepening search;N/A;38.0;YES;36.0;13386;15;34606;196;
Greedy best first search;Distance to the exit;N/A;YES;36.0;62;16;202;0;
Greedy best first search;Distance from closest enemy;N/A;YES;36.0;61;16;205;1;
Greedy best first search;Distance from closest enemy and goal;N/A;YES;36.0;65;14;213;1;
A* search;Distance to the exit;N/A;YES;36.0;62;16;202;1;
A* search;Distance from closest enemy;N/A;YES;36.0;69;14;226;1;
A* search;Distance from closest enemy and goal;N/A;YES;36.0;67;15;220;1;
IDA* search;Distance to the exit;N/A;YES;36.0;1584;6;4942;25;
IDA* search;Distance from closest enemy;N/A;YES;36.0;3830;12;13232;63;
IDA* search;Distance from closest enemy and goal;N/A;YES;36.0;1803;8;5949;28;
