Search Algorithm;Heuristic;Limit Size;Solution Found;Solution Cost;Num of Expanded Nodes;Max Frontier Size;Num of Generated States;Time to solve (milliseconds)

Breadth first search;N/A;N/A;YES;33.0;103;9;301;23;
Uniform cost search;N/A;N/A;YES;33.0;103;10;301;6;
Depth first search;N/A;N/A;YES;34.0;70;19;181;5;
Iterative deepening search;N/A;35.0;YES;33.0;379587;24;848594;5030;
Greedy best first search;Distance to the exit;N/A;YES;35.0;59;25;206;2;
Greedy best first search;Distance from closest enemy;N/A;YES;33.0;73;17;255;3;
Greedy best first search;Distance from closest enemy and goal;N/A;YES;33.0;82;15;283;3;
A* search;Distance to the exit;N/A;YES;33.0;82;19;283;1;
A* search;Distance from closest enemy;N/A;YES;33.0;87;15;296;3;
A* search;Distance from closest enemy and goal;N/A;YES;33.0;85;16;291;2;
IDA* search;Distance to the exit;N/A;YES;33.0;3128;14;11073;61;
IDA* search;Distance from closest enemy;N/A;YES;33.0;4998;13;17211;94;
IDA* search;Distance from closest enemy and goal;N/A;YES;33.0;2788;18;9623;57;
