Search Algorithm;Heuristic;Limit Size;Solution Found;Solution Cost;Num of Expanded Nodes;Max Frontier Size;Num of Generated States;Time to solve (milliseconds)

Breadth first search;N/A;N/A;YES;32.0;74;5;195;3;
Uniform cost search;N/A;N/A;YES;32.0;71;5;187;2;
Depth first search;N/A;N/A;YES;32.0;49;20;138;1;
Iterative deepening search;N/A;34.0;YES;32.0;2992;19;7003;54;
Greedy best first search;Distance to the exit;N/A;YES;32.0;45;15;139;1;
Greedy best first search;Distance from closest enemy;N/A;YES;32.0;48;20;154;1;
Greedy best first search;Distance from closest enemy and goal;N/A;YES;32.0;45;15;141;1;
A* search;Distance to the exit;N/A;YES;32.0;46;14;142;2;
A* search;Distance from closest enemy;N/A;YES;32.0;56;15;174;2;
A* search;Distance from closest enemy and goal;N/A;YES;32.0;46;14;143;1;
IDA* search;Distance to the exit;N/A;YES;32.0;642;3;1839;13;
IDA* search;Distance from closest enemy;N/A;YES;32.0;947;7;2907;17;
IDA* search;Distance from closest enemy and goal;N/A;YES;32.0;564;4;1616;10;
