Search Algorithm;Heuristic;Limit Size;Solution Found;Solution Cost;Num of Expanded Nodes;Max Frontier Size;Num of Generated States;Time to solve (milliseconds)

Breadth first search;N/A;N/A;YES;34.0;325;22;712;4;
Uniform cost search;N/A;N/A;YES;34.0;324;26;709;4;
Depth first search;N/A;N/A;YES;37.0;229;24;459;3;
Iterative deepening search;N/A;36.0;YES;34.0;150417;26;230665;1176;
Greedy best first search;Distance to the exit;N/A;YES;34.0;119;63;377;3;
Greedy best first search;Distance from closest enemy;N/A;YES;36.0;106;57;351;2;
Greedy best first search;Distance from closest enemy and goal;N/A;YES;36.0;94;35;309;2;
A* search;Distance to the exit;N/A;YES;34.0;222;94;663;3;
A* search;Distance from closest enemy;N/A;YES;34.0;238;90;706;3;
A* search;Distance from closest enemy and goal;N/A;YES;34.0;212;79;634;2;
IDA* search;Distance to the exit;N/A;YES;34.0;5738;28;16849;73;
IDA* search;Distance from closest enemy;N/A;YES;34.0;7800;35;23446;112;
IDA* search;Distance from closest enemy and goal;N/A;YES;34.0;4323;37;13088;64;
